X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Lat,Lng
986888.7771,208992.9156,234,0.036072199,7.31e-05,Union Sq,234,Manhattan,40.7358633,-73.9910835
1007773.36,250243.0561,235,0.076166843,0.000212845,University Heights/Morris Heights,235,Bronx,40.8543673,-73.9130236
996166.3275,223633.865,236,0.044251922,0.000102864,Upper East Side North,236,Manhattan,40.7735649,-73.9565551
993753.3107,219279.1627,237,0.042212599999999996,9.6e-05,Upper East Side South,237,Manhattan,40.7735649,-73.9565551
991777.6371,227739.8908,238,0.060109311,0.00018476400000000002,Upper West Side North,238,Manhattan,40.7870106,-73.9753676
990266.7853,224949.0756,239,0.063626115,0.000204715,Upper West Side South,239,Manhattan,40.7870106,-73.9753676
1017684.3829999999,265281.3527,240,0.146069764,0.0007221310000000001,Van Cortlandt Park,240,Bronx,40.8964243,-73.8852842
1012886.593,258436.3238,241,0.06876457799999999,0.00025467700000000003,Van Cortlandt Village,241,Bronx,40.8964243,-73.8852842
1028548.8420000001,248848.8958,242,0.138136446,0.00036007199999999996,Van Nest/Morris Park,242,Bronx,40.8456075,-73.8643305
1002832.195,252121.4302,243,0.0943315,0.000438377,Washington Heights North,243,Manhattan,40.8417082,-73.9393554
1000390.411,245761.3923,244,0.080568604,0.000359703,Washington Heights South,244,Manhattan,40.8417082,-73.9393554
955612.0855,168264.8979,245,0.09598306,0.000466175,West Brighton,245,Staten Island,40.6270298,-74.10931409999999
982999.7344,213409.8884,246,0.06946719400000001,0.000281298,West Chelsea/Hudson Yards,246,Manhattan,40.752559,-74.002736
1004989.375,241390.2232,247,0.09296785800000001,0.000205617,West Concourse,247,Bronx,28.4248274,-81.4694363
1019944.062,243398.9973,248,0.056919117000000005,0.000149593,West Farms/Bronx River,248,Bronx,40.8430609,-73.8816001
983558.0146,206915.3967,249,0.036384344,7.219999999999999e-05,West Village,249,Manhattan,40.73468,-74.0047554
1025903.712,242611.8776,250,0.079626347,0.00024097599999999998,Westchester Village/Unionport,250,Bronx,40.83083329999999,-73.8700116
950037.5912,165039.4451,251,0.137711161,0.000625755,Westerleigh,251,Staten Island,40.621215,-74.1318094
1035369.74,226551.8118,252,0.158004374,0.001025264,Whitestone,252,Queens,50.9431789,3.4392658
1028166.428,216236.4047,253,0.0360515,7.829999999999999e-05,Willets Point,253,Queens,40.7606911,-73.840436
1023441.084,261091.6499,254,0.085886375,0.00036004,Williamsbridge/Olinville,254,Bronx,40.8554311,-73.8553609
996132.6238,201170.1111,255,0.0623842,0.00017230900000000002,Williamsburg (North Side),255,Brooklyn,40.7149187,-73.95286709999999
995586.7325,198307.2827,256,0.067914967,0.000168611,Williamsburg (South Side),256,Brooklyn,40.7085742,-73.9701826
990565.4889,177424.8054,257,0.058669026,0.000138909,Windsor Terrace,257,Brooklyn,40.6539346,-73.9756567
1024007.1120000001,190740.6165,258,0.089013379,0.00036621,Woodhaven,258,Queens,42.1389839,-83.24179939999999
1023962.1059999999,266878.034,259,0.126750305,0.00039455199999999995,Woodlawn/Wakefield,259,Bronx,40.906716,-73.8629
1010929.715,211369.8834,260,0.133514155,0.000422345,Woodside,260,Queens,37.4299388,-122.2538557
980668.1872,197575.6899,261,0.027120456,3.43e-05,World Trade Center,261,Manhattan,40.7118011,-74.0131196
999253.1086,222193.8188,262,0.049063623,0.00012233,Yorkville East,262,Manhattan,40.770203,-73.95072990000001
997763.1583,222907.6347,263,0.037016625,6.579999999999999e-05,Yorkville West,263,Manhattan,41.6411409,-88.44729480000001
